, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.98,1,0.0,0.6,0.0,0.0,0.86,1.22,0.36,0.76,1.22,0.11,0.0,0.39,0.41,0.0,0.0,0.0,0.0
1,0,0.93,1,0.58,0.2,0.0,0.3,0.7,0.41,0.12,0.85,1.39,0.13,0.13,0.62,0.14,0.0,0.35,0.11,0.95
2,0,0.93,1,0.74,0.0,0.0,0.41,0.58,0.13,0.0,0.86,1.38,0.09,0.41,0.65,0.0,0.0,0.35,0.12,1.22
3,0,0.88,1,0.6,0.0,0.05,0.31,0.53,0.13,0.0,0.79,1.21,0.09,0.38,0.96,0.0,0.0,0.43,0.34,1.14
4,0,0.93,1,0.28,0.0,0.05,0.15,0.64,0.33,0.0,0.95,1.11,0.11,0.44,0.96,0.0,0.0,0.47,0.58,0.84
5,0,0.93,1,0.13,0.0,0.2,0.04,0.78,0.38,0.0,1.08,1.14,0.26,0.33,1.16,0.06,0.0,0.71,1.02,0.71
6,0,0.93,1,0.06,0.0,0.42,0.04,0.98,0.47,0.0,1.2,1.22,0.26,0.44,1.03,0.06,0.0,0.76,1.07,0.4
7,0,0.98,1,0.05,0.0,0.59,0.0,1.02,0.49,0.0,1.04,1.24,0.15,0.34,1.08,0.1,0.0,0.79,1.3,0.22
8,0,0.98,1,0.05,0.0,0.45,0.0,1.08,0.38,0.0,1.11,1.23,0.08,0.17,0.92,0.04,0.06,0.72,1.03,0.08
9,0,0.98,1,0.01,0.0,0.19,0.0,1.0,0.46,0.0,1.0,1.19,0.08,0.01,0.72,0.15,0.06,0.43,0.89,0.0
10,0,0.98,1,0.01,0.2,0.02,0.0,0.97,0.72,0.0,0.93,1.18,0.08,0.0,0.47,0.44,0.23,0.21,0.42,0.0
11,0,0.98,1,0.01,0.2,0.0,0.0,0.88,0.94,0.0,0.6,1.17,0.0,0.0,0.37,0.44,0.18,0.2,0.41,0.07
12,0,0.98,1,0.0,0.2,0.0,0.0,0.81,1.17,0.0,0.42,1.22,0.0,0.0,0.26,0.33,0.18,0.27,0.3,0.07
13,0,0.98,1,0.0,0.0,0.0,0.0,0.85,0.74,0.0,0.35,1.19,0.08,0.0,0.28,0.07,0.0,0.3,0.47,0.07
14,0,0.98,1,0.05,0.0,0.14,0.0,0.96,0.48,0.0,0.39,1.21,0.08,0.0,0.24,0.07,0.0,0.16,0.29,0.0
15,0,0.98,1,0.08,0.0,0.28,0.0,1.05,0.28,0.06,0.63,1.12,0.08,0.0,0.17,0.07,0.0,0.2,0.17,0.0
16,0,0.98,1,0.08,0.0,0.32,0.0,1.06,0.56,0.18,0.73,1.14,0.01,0.0,0.19,0.0,0.0,0.17,0.0,0.04
17,0,0.98,1,0.03,0.0,0.18,0.0,1.01,0.62,0.18,0.7,1.1,0.01,0.0,0.18,0.0,0.09,0.15,0.0,0.11
18,0,0.98,1,0.0,0.0,0.04,0.0,0.95,0.63,0.12,0.57,1.14,0.19,0.0,0.43,0.0,0.23,0.0,0.19,0.11
19,0,0.98,1,0.0,0.0,0.0,0.0,0.88,0.45,0.0,0.32,1.22,0.21,0.0,0.47,0.0,0.45,0.0,0.2,0.07
20,0,0.98,1,0.04,0.22,0.0,0.0,0.83,0.55,0.0,0.49,1.27,0.21,0.0,0.44,0.2,0.55,0.0,0.2,0.0
21,0,0.98,1,0.04,0.3,0.0,0.0,0.83,0.67,0.01,0.61,1.32,0.03,0.12,0.19,0.42,0.46,0.0,0.02,0.0
22,0,0.98,1,0.04,0.32,0.0,0.0,0.8,0.72,0.06,1.05,1.32,0.0,0.14,0.0,0.53,0.24,0.0,0.0,0.0
23,0,0.98,1,0.04,0.15,0.0,0.0,0.8,0.69,0.13,1.04,1.22,0.0,0.16,0.0,0.33,0.05,0.17,0.24,0.0
24,0,0.98,1,0.04,0.07,0.0,0.0,0.81,0.39,0.15,1.08,1.29,0.03,0.04,0.0,0.12,0.0,0.24,0.42,0.0
25,0,0.98,1,0.05,0.05,0.0,0.0,0.84,0.36,0.15,0.98,1.29,0.18,0.01,0.18,0.0,0.01,0.48,0.63,0.0
26,0,0.98,1,0.01,0.0,0.0,0.0,0.84,0.8,0.08,0.98,1.44,0.22,0.13,0.23,0.0,0.01,0.33,0.39,0.1
27,0,0.98,1,0.0,0.0,0.0,0.0,0.81,1.8,0.0,0.88,1.52,0.13,0.4,0.14,0.0,0.0,0.06,0.0,0.3
