, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.98,1,1.27,1.54,0.11,0.18,0.0,0.1,0.0,0.63,0.4,0.0,0.0,0.21,0.0,0.0,0.93,0.07,0.0
1,0,0.98,1,0.67,0.51,0.64,0.06,0.18,0.1,0.0,0.21,0.13,0.0,0.0,0.99,0.28,0.95,0.31,0.27,0.05
2,0,0.88,1,0.24,0.0,0.69,0.0,0.48,0.06,0.0,0.0,0.02,0.0,0.0,1.77,0.65,1.38,0.0,0.24,0.05
3,0,0.77,1,0.24,0.0,0.31,0.0,0.48,0.06,0.0,0.0,0.21,0.1,0.0,1.72,0.65,1.34,0.0,0.0,0.9
4,0,0.98,1,0.26,0.29,0.32,0.06,0.34,0.27,0.0,0.28,0.33,0.1,0.07,0.99,0.37,0.8,0.35,0.0,0.85
5,0,0.93,1,0.52,0.44,0.51,0.06,0.19,0.74,0.0,0.63,0.47,0.11,0.29,0.2,0.0,0.38,0.78,0.13,0.85
6,0,0.98,1,0.52,0.44,0.89,0.06,0.43,0.91,0.09,1.12,0.44,0.13,0.29,0.06,0.0,0.0,1.14,0.35,0.0
7,0,0.98,1,0.26,0.15,1.23,0.0,0.65,0.71,0.12,1.32,0.44,0.28,0.29,0.07,0.06,0.0,1.24,0.49,0.0
8,0,0.98,1,0.0,0.0,1.51,0.0,0.8,0.37,0.13,1.5,0.36,0.37,0.12,0.01,0.2,0.0,1.24,0.66,0.0
9,0,0.98,1,0.0,0.0,1.28,0.0,0.75,0.39,0.04,1.46,0.23,0.28,0.12,0.04,0.2,0.0,1.35,1.06,0.01
10,0,0.98,1,0.0,0.0,1.26,0.0,0.57,0.7,0.01,1.31,0.12,0.13,0.16,0.09,0.13,0.0,1.43,1.69,0.01
11,0,0.98,1,0.0,0.0,1.2,0.0,0.26,0.89,0.0,0.92,0.04,0.04,0.12,0.14,0.0,0.0,1.33,2.02,0.2
12,0,0.98,1,0.0,0.0,1.49,0.0,0.0,0.98,0.0,0.42,0.0,0.0,0.0,0.15,0.0,0.0,0.97,1.89,0.57
