, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.98,1,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.91,0.2,0.0,0.19,0.81,0.0,0.0,0.0,0.0,0.0
1,0,0.88,1,0.06,0.1,0.0,0.1,0.23,0.0,0.0,0.51,0.79,0.18,0.25,1.08,0.25,0.56,0.0,0.89,0.0
2,0,0.98,1,0.16,0.05,0.0,0.11,0.23,0.0,0.0,0.39,0.91,0.28,0.36,1.22,0.25,0.59,0.0,1.26,0.0
3,0,0.98,1,0.21,0.0,0.0,0.02,0.0,0.0,0.0,0.56,0.59,0.34,0.44,1.19,0.0,0.06,0.0,1.29,0.0
4,0,0.98,1,0.26,0.0,0.0,0.01,0.0,0.02,0.0,0.69,0.63,0.31,0.39,1.17,0.0,0.03,0.17,1.26,0.0
5,0,0.98,1,0.25,0.0,0.0,0.0,0.0,0.02,0.0,0.95,0.67,0.21,0.22,1.18,0.0,0.0,0.2,1.31,0.0
6,0,0.98,1,0.26,0.0,0.0,0.0,0.01,0.02,0.0,1.24,0.7,0.2,0.14,1.24,0.0,0.0,0.28,1.44,0.0
7,0,0.98,1,0.24,0.0,0.0,0.0,0.03,0.01,0.0,1.33,0.66,0.19,0.0,1.24,0.0,0.0,0.18,1.47,0.0
8,0,0.98,1,0.26,0.0,0.13,0.0,0.03,0.0,0.05,1.34,0.62,0.31,0.0,1.3,0.0,0.0,0.22,1.45,0.0
9,0,0.98,1,0.25,0.0,0.2,0.0,0.02,0.0,0.09,1.28,0.57,0.27,0.0,1.25,0.0,0.0,0.27,1.34,0.0
10,0,0.98,1,0.27,0.0,0.24,0.0,0.0,0.03,0.09,1.09,0.52,0.18,0.0,1.22,0.0,0.02,0.2,1.06,0.0
11,0,0.98,1,0.34,0.52,0.11,0.25,0.13,0.03,0.04,0.65,0.76,0.06,0.0,0.75,0.0,0.22,0.3,1.24,0.0
12,0,0.98,1,0.28,0.52,0.04,0.25,0.13,0.14,0.02,0.44,0.78,0.01,0.0,0.81,0.0,0.23,0.17,0.78,0.0
13,0,0.98,1,0.17,0.52,0.0,0.25,0.14,0.19,0.04,0.42,0.81,0.0,0.0,0.85,0.0,0.22,0.17,0.63,0.0
14,0,0.98,1,0.0,0.0,0.02,0.0,0.02,0.19,0.07,0.61,0.55,0.0,0.0,1.35,0.0,0.1,0.0,0.05,0.0
15,0,0.98,1,0.0,0.0,0.04,0.0,0.05,0.07,0.08,0.65,0.5,0.0,0.0,1.33,0.0,0.14,0.0,0.04,0.0
16,0,0.98,1,0.0,0.0,0.13,0.01,0.03,0.0,0.07,0.67,0.44,0.0,0.17,1.4,0.0,0.16,0.0,0.07,0.0
17,0,0.98,1,0.0,0.0,0.11,0.05,0.03,0.05,0.04,0.86,0.4,0.0,0.22,1.21,0.0,0.09,0.08,0.56,0.0
