, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.88,1,0.56,0.5,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.28,0.0,0.0,0.0,0.0
1,0,0.93,1,0.19,0.17,0.48,0.01,0.53,0.45,0.0,1.07,0.93,0.04,0.53,0.77,0.09,0.0,0.72,0.92,0.05
2,0,0.93,1,0.0,0.0,0.31,0.01,0.8,0.5,0.0,1.46,1.38,0.04,0.72,0.73,0.0,0.0,1.2,1.42,0.05
3,0,0.93,1,0.0,0.0,0.49,0.01,0.79,0.39,0.0,1.2,1.31,0.04,0.44,0.65,0.0,0.0,1.18,1.25,0.15
4,0,0.98,1,0.0,0.0,0.51,0.04,0.76,0.17,0.0,1.1,1.17,0.11,0.19,0.65,0.0,0.06,1.33,1.1,0.12
5,0,0.98,1,0.0,0.0,0.28,0.04,0.72,0.13,0.0,1.04,1.11,0.11,0.0,0.53,0.0,0.06,1.24,0.75,0.12
6,0,0.98,1,0.0,0.0,0.09,0.04,0.7,0.1,0.04,0.99,1.12,0.11,0.01,0.46,0.07,0.06,1.03,0.5,0.02
7,0,0.98,1,0.0,0.0,0.0,0.0,0.71,0.21,0.04,0.92,1.12,0.08,0.01,0.45,0.12,0.0,0.67,0.48,0.0
8,0,0.98,1,0.0,0.0,0.0,0.0,0.76,0.21,0.11,0.8,1.05,0.1,0.01,0.46,0.19,0.0,0.41,0.38,0.0
9,0,0.98,1,0.0,0.0,0.11,0.0,0.82,0.1,0.11,0.88,1.05,0.12,0.0,0.34,0.17,0.0,0.43,0.27,0.0
10,0,0.98,1,0.25,0.28,0.52,0.06,0.59,0.0,0.11,0.61,0.72,0.05,0.0,0.42,0.3,0.0,0.33,0.04,0.0
11,0,0.88,1,0.25,0.28,0.53,0.06,0.6,0.18,0.04,0.58,0.7,0.02,0.0,0.31,0.23,0.0,0.19,0.0,0.0
12,0,0.98,1,0.25,0.28,0.41,0.06,0.59,0.27,0.02,0.35,0.68,0.0,0.0,0.31,0.18,0.0,0.11,0.0,0.02
13,0,0.98,1,0.0,0.0,0.0,0.0,0.92,0.38,0.02,0.59,1.12,0.0,0.0,0.17,0.0,0.02,0.18,0.0,0.02
14,0,0.98,1,0.0,0.0,0.01,0.0,1.04,0.47,0.02,0.67,1.24,0.15,0.0,0.41,0.0,0.13,0.18,0.0,0.02
15,0,0.98,1,0.0,0.0,0.01,0.0,1.01,0.4,0.05,0.75,1.3,0.34,0.0,0.67,0.0,0.22,0.07,0.11,0.0
16,0,0.98,1,0.01,0.0,0.01,0.0,0.99,0.58,0.16,0.61,1.23,0.49,0.0,0.73,0.0,0.33,0.06,0.26,0.0
17,0,0.98,1,0.18,0.0,0.11,0.0,0.74,0.68,0.16,0.42,1.12,0.34,0.03,0.67,0.0,0.31,0.06,0.3,0.11
18,0,0.98,1,0.27,0.0,0.11,0.0,0.76,0.87,0.11,0.33,1.09,0.19,0.1,0.58,0.0,0.26,0.06,0.19,0.15
19,0,0.98,1,0.37,0.11,0.16,0.0,0.75,0.72,0.0,0.32,1.13,0.12,0.13,0.38,0.0,0.2,0.0,0.09,0.15
20,0,0.98,1,0.46,0.55,0.46,0.0,0.58,0.35,0.0,0.36,0.81,0.12,0.1,0.42,0.21,0.12,0.0,0.05,0.07
21,0,0.93,1,0.37,0.55,0.46,0.0,0.51,0.33,0.09,0.59,0.85,0.08,0.03,0.3,0.37,0.08,0.23,0.11,0.03
22,0,0.98,1,0.28,0.52,0.41,0.0,0.43,0.24,0.2,0.97,0.85,0.0,0.18,0.26,0.37,0.0,0.45,0.18,0.03
23,0,0.98,1,0.22,0.29,0.0,0.15,0.58,0.24,0.2,1.37,1.34,0.06,0.46,0.04,0.35,0.0,0.66,0.28,0.32
24,0,0.93,1,0.38,0.29,0.0,0.42,0.54,0.04,0.11,1.29,1.39,0.08,0.69,0.0,0.18,0.0,0.75,0.26,0.62
25,0,0.88,1,0.44,0.22,0.0,0.42,0.55,0.0,0.0,1.24,1.47,0.08,0.69,0.02,0.18,0.0,0.8,0.24,0.93
26,0,0.93,1,0.24,0.0,0.0,0.27,0.63,0.07,0.0,1.11,1.43,0.02,0.64,0.37,0.0,0.0,0.88,0.48,1.01
27,0,0.93,1,0.0,0.0,0.0,0.0,0.65,0.2,0.0,1.17,1.32,0.0,0.7,1.07,0.0,0.0,0.88,0.99,1.22
