, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.98,1,0.0,0.39,0.38,0.0,1.32,1.78,0.33,1.34,2.04,1.27,0.48,0.27,0.0,0.1,0.0,0.08,0.0
1,0,0.88,1,0.0,0.13,0.22,0.0,1.03,1.11,0.11,0.93,1.84,1.28,0.28,0.68,0.19,0.2,0.02,0.3,0.14
2,0,0.88,1,0.08,0.0,0.22,0.0,1.02,1.0,0.0,0.79,1.75,1.14,0.12,0.75,0.27,0.17,0.16,0.27,0.14
3,0,0.98,1,0.08,0.0,0.49,0.0,1.23,1.4,0.03,0.77,1.83,0.94,0.12,0.6,0.2,0.05,0.27,0.0,0.19
4,0,0.93,1,0.11,0.0,0.68,0.0,1.53,1.84,0.05,0.9,1.95,0.82,0.12,0.39,0.08,0.0,0.44,0.0,0.06
5,0,0.98,1,0.03,0.0,0.84,0.0,1.54,2.0,0.05,0.74,1.99,0.93,0.12,0.35,0.0,0.0,0.48,0.24,0.06
6,0,0.88,1,0.03,0.0,0.87,0.0,1.47,2.04,0.02,0.58,1.99,1.04,0.0,0.34,0.0,0.0,0.57,0.47,0.0
7,0,0.88,1,0.07,0.0,0.82,0.0,1.3,1.89,0.08,0.5,1.91,1.2,0.0,0.47,0.0,0.03,0.5,0.66,0.0
8,0,0.93,1,0.1,0.0,0.85,0.0,1.27,1.73,0.1,0.52,1.95,1.14,0.0,0.4,0.03,0.03,0.42,0.41,0.0
9,0,0.88,1,0.1,0.03,0.89,0.0,1.31,1.48,0.1,0.75,2.0,1.29,0.02,0.56,0.03,0.03,0.54,0.22,0.0
10,0,0.88,1,0.03,0.03,0.65,0.0,1.24,1.14,0.02,0.87,2.05,1.17,0.1,0.28,0.03,0.0,0.51,0.07,0.0
11,0,0.88,1,0.0,0.03,0.41,0.0,1.13,0.89,0.0,1.03,1.91,1.2,0.1,0.43,0.0,0.08,0.4,0.18,0.01
12,0,0.93,1,0.0,0.0,0.15,0.0,0.99,0.66,0.0,0.99,1.71,1.0,0.08,0.37,0.0,0.19,0.09,0.32,0.01
13,0,0.98,1,0.0,0.0,0.37,0.0,1.02,0.49,0.0,1.16,1.71,1.23,0.0,0.73,0.08,0.39,0.14,0.46,0.01
14,0,0.93,1,0.0,0.0,0.31,0.0,1.12,0.75,0.08,0.99,1.79,0.96,0.0,0.54,0.25,0.3,0.29,0.35,0.0
15,0,0.93,1,0.0,0.0,0.22,0.0,1.12,0.88,0.08,1.02,1.94,0.8,0.12,0.4,0.25,0.2,0.37,0.24,0.0
16,0,0.88,1,0.28,0.0,0.0,0.16,0.91,0.8,0.08,0.88,2.02,0.67,0.17,0.04,0.17,0.0,0.32,0.28,0.32
17,0,0.88,1,0.5,0.09,0.0,0.22,0.76,0.34,0.0,1.11,2.19,1.04,0.24,0.04,0.0,0.0,0.35,0.52,0.47
18,0,0.88,1,0.77,0.22,0.0,0.36,0.76,0.08,0.0,1.25,2.34,1.27,0.13,0.0,0.0,0.0,0.35,0.46,0.73
19,0,0.88,1,0.71,0.38,0.0,0.2,0.88,0.16,0.0,1.33,2.38,1.53,0.08,0.06,0.14,0.0,0.26,0.33,0.69
20,0,0.88,1,0.52,0.29,0.09,0.14,0.98,0.24,0.0,1.38,2.43,1.69,0.04,0.19,0.27,0.0,0.08,0.11,0.9
21,0,0.88,1,0.25,0.16,0.12,0.0,0.95,0.32,0.0,1.04,2.28,1.66,0.03,0.47,0.27,0.02,0.0,0.22,0.91
22,0,0.88,1,0.0,0.0,0.08,0.0,0.88,0.38,0.0,0.43,2.02,1.25,0.0,0.84,0.0,0.07,0.0,0.32,0.8
