, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.93,1,0.89,0.32,0.21,0.0,0.0,0.0,0.0,0.57,0.25,0.47,0.0,1.83,0.39,0.0,0.4,1.6,0.0
1,0,0.93,1,1.37,0.11,0.38,0.0,0.0,0.0,0.0,0.61,0.08,0.16,0.58,1.86,0.15,0.0,0.15,1.16,0.0
2,0,0.93,1,1.44,0.0,0.51,0.01,0.0,0.0,0.0,0.57,0.0,0.0,0.87,2.0,0.02,0.0,0.01,1.31,0.0
3,0,0.93,1,1.23,0.0,0.29,0.01,0.0,0.0,0.0,0.59,0.0,0.0,0.89,1.95,0.0,0.0,0.12,1.71,0.0
4,0,0.93,1,0.88,0.0,0.21,0.01,0.0,0.0,0.0,0.32,0.0,0.0,0.63,2.01,0.0,0.0,0.37,1.76,0.0
5,0,0.98,1,0.65,0.0,0.15,0.0,0.0,0.08,0.0,0.17,0.0,0.0,0.36,2.17,0.0,0.0,0.53,1.76,0.0
6,0,0.98,1,0.3,0.0,0.29,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.02,2.12,0.12,0.0,0.61,1.7,0.0
7,0,0.93,1,0.13,0.0,0.29,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.02,2.18,0.12,0.0,0.39,1.93,0.0
8,0,0.98,1,0.0,0.0,0.28,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.01,0.12,0.0,0.42,1.59,0.0
9,0,0.98,1,0.0,0.0,0.14,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.41,1.05,0.01
10,0,0.98,1,0.39,0.42,0.32,0.17,0.0,0.0,0.0,0.33,0.13,0.18,0.24,1.81,0.05,0.0,0.66,0.9,0.07
11,0,0.93,1,0.39,0.42,0.18,0.17,0.0,0.0,0.0,0.33,0.13,0.18,0.24,1.54,0.05,0.0,0.56,0.56,0.07
12,0,0.98,1,0.39,0.42,0.18,0.17,0.0,0.0,0.0,0.33,0.14,0.18,0.24,1.06,0.09,0.0,0.37,0.45,0.06
13,0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.53,0.05,0.0,0.1,0.02,0.04
14,0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.08,0.05,0.0,0.0,0.19,0.04
15,0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.03,0.0,0.0,0.06,0.0,0.12,0.0,0.23,0.05
16,0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.09,0.0,0.0,0.01,0.0,0.22,0.0,0.21,0.0
17,0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.19,0.0,0.0,0.0,0.0,0.3,0.14,0.14,0.08
18,0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.21,0.0,0.0,0.0,0.0,0.32,0.2,0.1,0.08
19,0,0.98,1,0.0,0.0,0.0,0.0,0.01,0.0,0.21,0.03,0.31,0.0,0.0,0.12,0.0,0.41,0.2,0.1,0.23
20,0,0.98,1,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.03,0.45,0.0,0.0,0.12,0.0,0.47,0.11,0.0,0.16
21,0,0.98,1,0.34,0.33,0.19,0.04,0.07,0.0,0.09,0.42,0.54,0.18,0.2,0.71,0.1,0.33,0.33,0.54,0.16
22,0,0.93,1,0.34,0.33,0.19,0.04,0.18,0.0,0.12,0.57,0.68,0.18,0.2,0.58,0.1,0.16,0.49,0.54,0.08
23,0,0.93,1,0.34,0.33,0.19,0.04,0.29,0.0,0.3,0.8,0.76,0.18,0.2,0.58,0.1,0.15,0.45,0.54,0.21
