, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,video,frame,GMM,GMM_probs
0,0.98,1,0.11,0.0,0.0,0.0,1.33,2.09,0.0,1.1,1.62,0.08,0.1,0.15,0.0,0.0,0.0,0.29,0.0,6,1,1,0.9974931701385881
1,0.98,1,0.04,0.0,0.13,0.08,1.42,2.2,0.13,1.14,1.61,0.03,0.14,0.4,0.0,0.0,0.12,0.1,0.01,6,2,7,0.9998963721312384
2,0.98,1,0.0,0.0,0.13,0.08,1.43,2.08,0.13,1.02,1.53,0.02,0.1,0.35,0.17,0.0,0.23,0.14,0.13,6,3,7,0.9994663855183354
3,0.98,1,0.0,0.0,0.08,0.15,1.43,1.84,0.07,0.86,1.36,0.06,0.01,0.12,0.17,0.08,0.18,0.28,0.3,6,4,8,0.9983734283765432
4,0.98,1,0.0,0.04,0.06,0.07,1.35,1.77,0.08,0.79,1.35,0.19,0.0,0.04,0.17,0.11,0.43,0.45,0.36,6,5,8,0.999903089331522
5,0.98,1,0.0,0.09,0.27,0.13,1.28,1.79,0.09,0.8,1.31,0.48,0.0,0.12,0.0,0.17,0.42,0.61,0.34,6,6,8,0.9954212455617216
6,0.93,1,0.0,0.1,0.34,0.06,1.2,1.85,0.09,0.9,1.29,0.45,0.14,0.31,0.0,0.2,0.64,0.6,0.16,6,7,8,0.9899270273681955
7,0.98,1,0.17,0.27,0.45,0.06,1.09,1.91,0.01,0.86,1.27,0.61,0.18,0.42,0.0,0.23,0.67,0.53,0.1,6,8,8,0.9211846357293785
8,0.98,1,0.29,0.22,0.48,0.0,1.08,2.09,0.0,0.98,1.37,0.61,0.24,0.7,0.06,0.16,0.77,0.38,0.0,6,9,5,0.9999379507696109
9,0.98,1,0.4,0.22,0.62,0.0,1.13,2.07,0.0,0.83,1.44,1.16,0.09,0.67,0.09,0.05,0.52,0.4,0.0,6,10,5,0.9996758468662156
10,0.98,1,0.26,0.0,0.44,0.0,1.18,2.03,0.0,1.08,1.54,1.14,0.06,0.67,0.23,0.0,0.24,0.42,0.0,6,11,1,0.639612457057463
11,0.98,1,0.14,0.0,0.45,0.0,1.11,1.83,0.0,1.11,1.36,1.0,0.13,0.67,0.17,0.14,0.18,0.3,0.0,6,12,1,0.9667439860471707
12,0.98,1,0.24,0.0,0.51,0.0,0.96,1.72,0.0,1.43,1.27,0.67,0.13,0.83,0.17,0.15,0.29,0.31,0.0,6,13,1,0.61946119670382
13,0.98,1,0.22,0.0,0.57,0.0,0.98,1.7,0.0,1.5,1.23,0.66,0.13,0.93,0.22,0.19,0.5,0.19,0.01,6,14,1,0.6049519515575437
14,0.98,1,0.2,0.0,0.44,0.02,1.04,1.76,0.0,1.72,1.41,0.84,0.0,0.76,0.28,0.04,0.55,0.19,0.01,6,15,5,0.9999997666312762
15,0.98,1,0.0,0.0,0.17,0.02,1.09,1.83,0.0,1.88,1.53,0.85,0.03,0.72,0.25,0.04,0.41,0.26,0.01,6,16,5,0.9999995390498354
16,0.98,1,0.09,0.0,0.11,0.02,1.04,1.75,0.0,1.77,1.53,0.9,0.03,0.56,0.13,0.0,0.2,0.29,0.0,6,17,5,0.9979905847094833
