, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0.11,0.0,0.0,0.0,1.33,2.09,0.0,1.1,1.62,0.08,0.1,0.15,0.0,0.0,0.0,0.29,0.0
1,0.04,0.0,0.13,0.08,1.42,2.2,0.13,1.14,1.61,0.03,0.14,0.4,0.0,0.0,0.12,0.1,0.01
2,0.0,0.0,0.13,0.08,1.43,2.08,0.13,1.02,1.53,0.02,0.1,0.35,0.17,0.0,0.23,0.14,0.13
3,0.0,0.0,0.08,0.15,1.43,1.84,0.07,0.86,1.36,0.06,0.01,0.12,0.17,0.08,0.18,0.28,0.3
4,0.0,0.04,0.06,0.07,1.35,1.77,0.08,0.79,1.35,0.19,0.0,0.04,0.17,0.11,0.43,0.45,0.36
5,0.0,0.09,0.27,0.13,1.28,1.79,0.09,0.8,1.31,0.48,0.0,0.12,0.0,0.17,0.42,0.61,0.34
6,0.0,0.1,0.34,0.06,1.2,1.85,0.09,0.9,1.29,0.45,0.14,0.31,0.0,0.2,0.64,0.6,0.16
7,0.17,0.27,0.45,0.06,1.09,1.91,0.01,0.86,1.27,0.61,0.18,0.42,0.0,0.23,0.67,0.53,0.1
8,0.29,0.22,0.48,0.0,1.08,2.09,0.0,0.98,1.37,0.61,0.24,0.7,0.06,0.16,0.77,0.38,0.0
9,0.4,0.22,0.62,0.0,1.13,2.07,0.0,0.83,1.44,1.16,0.09,0.67,0.09,0.05,0.52,0.4,0.0
10,0.26,0.0,0.44,0.0,1.18,2.03,0.0,1.08,1.54,1.14,0.06,0.67,0.23,0.0,0.24,0.42,0.0
11,0.14,0.0,0.45,0.0,1.11,1.83,0.0,1.11,1.36,1.0,0.13,0.67,0.17,0.14,0.18,0.3,0.0
12,0.24,0.0,0.51,0.0,0.96,1.72,0.0,1.43,1.27,0.67,0.13,0.83,0.17,0.15,0.29,0.31,0.0
13,0.22,0.0,0.57,0.0,0.98,1.7,0.0,1.5,1.23,0.66,0.13,0.93,0.22,0.19,0.5,0.19,0.01
14,0.2,0.0,0.44,0.02,1.04,1.76,0.0,1.72,1.41,0.84,0.0,0.76,0.28,0.04,0.55,0.19,0.01
15,0.0,0.0,0.17,0.02,1.09,1.83,0.0,1.88,1.53,0.85,0.03,0.72,0.25,0.04,0.41,0.26,0.01
16,0.09,0.0,0.11,0.02,1.04,1.75,0.0,1.77,1.53,0.9,0.03,0.56,0.13,0.0,0.2,0.29,0.0
17,0.15,0.0,0.0,0.0,1.01,1.56,0.0,1.45,1.57,0.79,0.06,0.38,0.07,0.0,0.05,0.35,0.0
18,0.23,0.0,0.0,0.0,1.09,1.69,0.0,1.18,1.54,0.66,0.03,0.1,0.07,0.0,0.1,0.13,0.0
19,0.14,0.0,0.0,0.0,1.17,2.01,0.12,1.13,1.58,0.35,0.03,0.0,0.0,0.0,0.24,0.11,0.0
20,0.08,0.0,0.07,0.0,1.28,2.26,0.12,1.17,1.47,0.1,0.02,0.06,0.0,0.0,0.19,0.0,0.04
21,0.0,0.0,0.07,0.0,1.26,2.18,0.15,1.03,1.46,0.16,0.02,0.14,0.0,0.0,0.13,0.0,0.11
22,0.0,0.0,0.0,0.0,1.19,1.85,0.09,0.68,1.45,0.48,0.0,0.24,0.0,0.0,0.0,0.0,0.23
23,0.83,0.24,2.19,0.0,1.75,2.35,0.0,1.84,1.81,1.3,1.4,1.31,0.0,0.82,0.0,0.11,0.0
24,0.28,0.08,1.32,0.0,1.76,1.64,0.01,1.65,1.74,0.73,0.48,0.92,0.22,0.27,0.48,0.79,0.1
25,0.34,0.06,0.98,0.0,1.44,1.43,0.01,1.37,1.49,0.32,0.01,0.74,0.26,0.0,0.91,1.2,0.16
26,0.34,0.06,1.17,0.0,1.33,1.64,0.17,0.99,1.27,0.15,0.03,0.78,0.23,0.09,0.85,1.03,0.16
27,0.34,0.06,0.93,0.02,1.44,1.56,0.17,0.82,1.39,0.38,0.2,0.53,0.05,0.09,0.67,0.75,0.07
28,0.0,0.0,0.63,0.02,1.81,1.77,0.17,1.18,1.77,0.7,0.36,0.26,0.0,0.1,0.25,0.31,0.16
29,0.03,0.0,0.31,0.25,1.73,1.33,0.0,1.39,1.94,0.79,0.34,0.16,0.0,0.01,0.08,0.19,0.17
30,0.03,0.0,0.4,0.23,1.56,1.58,0.0,1.27,1.77,0.66,0.17,0.16,0.0,0.27,0.37,0.68,0.21
31,0.03,0.0,0.4,0.38,1.49,1.08,0.0,1.02,1.78,0.73,0.0,0.28,0.0,0.53,0.65,0.68,0.05
32,0.0,0.0,0.4,0.14,1.54,1.0,0.1,1.08,1.77,0.64,0.0,0.13,0.02,0.54,1.19,0.89,0.04
33,0.03,0.0,0.73,0.14,1.92,1.55,0.25,1.43,1.95,0.78,0.25,0.59,0.02,0.35,0.82,0.45,0.0
34,0.03,0.0,0.99,0.0,1.97,1.46,0.25,1.35,1.88,0.38,0.25,0.47,0.02,0.09,0.96,0.47,0.04
35,0.44,0.09,1.24,0.35,1.49,1.18,0.15,1.04,1.31,0.38,0.25,0.46,0.0,0.08,0.67,0.63,0.04
36,0.41,0.09,0.6,0.35,1.17,0.41,0.16,0.75,1.17,0.0,0.0,0.04,0.0,0.0,1.23,0.97,0.04
37,0.41,0.09,0.82,0.35,1.33,0.81,0.16,0.99,1.31,0.49,0.0,0.18,0.0,0.0,0.81,0.94,0.0
38,0.0,0.0,1.29,0.0,2.14,1.62,0.16,1.62,2.09,0.8,0.0,0.26,0.0,0.0,0.74,0.38,0.21
39,0.53,0.21,1.4,0.0,2.24,1.62,0.0,1.97,2.16,1.18,0.0,0.6,0.14,0.0,0.18,0.0,0.21
40,0.9,0.21,0.91,0.0,1.82,1.36,0.0,2.27,2.01,1.15,0.0,0.81,0.14,0.0,0.18,0.0,0.43
41,0.9,0.21,0.59,0.0,1.85,1.42,0.29,2.16,1.99,1.14,0.12,0.87,0.2,0.0,0.0,0.29,0.23
42,0.44,0.0,0.84,0.0,1.93,1.69,0.29,2.32,2.2,1.26,0.51,0.82,0.06,0.0,0.15,0.58,0.23
43,0.42,0.13,1.37,0.0,2.28,1.99,0.29,2.09,2.3,1.25,0.63,0.6,0.17,0.0,0.61,0.94,0.0
44,1.03,0.39,1.8,0.0,2.08,1.93,0.0,2.03,2.36,1.33,0.37,0.37,0.35,0.0,1.38,1.08,0.0
45,0.0,0.82,0.0,0.0,1.56,0.85,0.0,0.33,1.32,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.03,0.0,0.42,0.0,0.72,1.67,0.21,0.18,0.3,0.12,0.27,0.61,0.23,0.0,0.95,0.53,0.5
49,0.1,0.0,0.64,0.0,1.02,2.61,0.4,0.18,0.3,0.12,0.27,0.87,0.23,0.0,0.98,0.81,0.5
50,0.07,0.0,0.49,0.0,1.11,2.41,0.33,0.18,0.39,0.12,0.49,0.63,0.23,0.0,1.25,0.64,0.33
51,0.07,0.0,0.35,0.0,1.08,2.07,0.27,0.38,0.56,0.06,0.6,0.43,0.06,0.0,1.07,0.79,0.0
52,0.07,0.0,0.4,0.28,1.11,1.5,0.09,0.75,1.19,0.16,1.25,0.59,0.06,0.4,1.69,0.76,0.0
53,0.29,0.23,0.76,0.28,1.08,0.87,0.0,1.62,1.65,0.69,1.53,1.38,0.06,0.6,1.9,0.73,0.41
54,0.46,0.43,0.95,0.57,0.85,0.7,0.0,1.43,1.93,1.7,1.28,2.77,0.0,1.55,1.61,0.71,0.41
55,0.39,0.43,0.69,0.29,1.0,0.67,0.0,1.27,1.78,2.75,0.63,2.42,0.0,1.15,0.96,0.46,0.41
56,0.32,0.46,0.54,0.55,0.83,0.73,0.0,0.54,1.86,2.7,0.13,2.73,0.0,1.23,0.32,0.52,0.0
57,0.14,0.25,0.21,0.26,1.26,1.32,0.0,0.66,1.71,2.37,0.0,1.22,0.1,0.28,0.12,0.06,0.0
58,0.14,0.25,0.21,0.26,1.62,1.58,0.0,1.25,2.14,1.5,0.0,1.42,0.41,0.28,0.12,0.06,0.0
59,0.0,0.0,0.0,0.0,2.2,2.16,0.0,1.34,1.9,1.02,0.0,0.26,0.41,0.0,0.72,0.0,0.06
60,0.0,0.0,0.0,0.0,2.33,2.53,0.0,1.4,1.88,0.47,0.0,0.26,0.32,0.0,1.06,0.0,0.36
61,0.0,0.0,0.0,0.0,1.85,2.58,0.0,0.87,1.01,0.19,0.0,0.19,0.0,0.0,1.06,0.46,0.47
62,0.15,0.0,0.05,0.0,1.29,2.29,0.0,0.64,0.7,0.19,0.11,0.85,0.0,0.75,0.47,1.41,0.41
63,0.15,0.0,0.05,0.0,0.54,1.19,0.0,0.26,0.18,0.0,0.11,0.85,0.0,0.75,0.0,1.41,0.11
65,0.0,0.6,0.0,0.0,0.86,1.22,0.36,0.76,1.22,0.11,0.0,0.39,0.41,0.0,0.0,0.0,0.0
66,0.58,0.2,0.0,0.3,0.7,0.41,0.12,0.85,1.39,0.13,0.13,0.62,0.14,0.0,0.35,0.11,0.95
67,0.74,0.0,0.0,0.41,0.58,0.13,0.0,0.86,1.38,0.09,0.41,0.65,0.0,0.0,0.35,0.12,1.22
68,0.6,0.0,0.05,0.31,0.53,0.13,0.0,0.79,1.21,0.09,0.38,0.96,0.0,0.0,0.43,0.34,1.14
69,0.28,0.0,0.05,0.15,0.64,0.33,0.0,0.95,1.11,0.11,0.44,0.96,0.0,0.0,0.47,0.58,0.84
70,0.13,0.0,0.2,0.04,0.78,0.38,0.0,1.08,1.14,0.26,0.33,1.16,0.06,0.0,0.71,1.02,0.71
71,0.06,0.0,0.42,0.04,0.98,0.47,0.0,1.2,1.22,0.26,0.44,1.03,0.06,0.0,0.76,1.07,0.4
72,0.05,0.0,0.59,0.0,1.02,0.49,0.0,1.04,1.24,0.15,0.34,1.08,0.1,0.0,0.79,1.3,0.22
73,0.05,0.0,0.45,0.0,1.08,0.38,0.0,1.11,1.23,0.08,0.17,0.92,0.04,0.06,0.72,1.03,0.08
74,0.01,0.0,0.19,0.0,1.0,0.46,0.0,1.0,1.19,0.08,0.01,0.72,0.15,0.06,0.43,0.89,0.0
75,0.01,0.2,0.02,0.0,0.97,0.72,0.0,0.93,1.18,0.08,0.0,0.47,0.44,0.23,0.21,0.42,0.0
76,0.01,0.2,0.0,0.0,0.88,0.94,0.0,0.6,1.17,0.0,0.0,0.37,0.44,0.18,0.2,0.41,0.07
77,0.0,0.2,0.0,0.0,0.81,1.17,0.0,0.42,1.22,0.0,0.0,0.26,0.33,0.18,0.27,0.3,0.07
78,0.0,0.0,0.0,0.0,0.85,0.74,0.0,0.35,1.19,0.08,0.0,0.28,0.07,0.0,0.3,0.47,0.07
79,0.05,0.0,0.14,0.0,0.96,0.48,0.0,0.39,1.21,0.08,0.0,0.24,0.07,0.0,0.16,0.29,0.0
80,0.08,0.0,0.28,0.0,1.05,0.28,0.06,0.63,1.12,0.08,0.0,0.17,0.07,0.0,0.2,0.17,0.0
81,0.08,0.0,0.32,0.0,1.06,0.56,0.18,0.73,1.14,0.01,0.0,0.19,0.0,0.0,0.17,0.0,0.04
82,0.03,0.0,0.18,0.0,1.01,0.62,0.18,0.7,1.1,0.01,0.0,0.18,0.0,0.09,0.15,0.0,0.11
83,0.0,0.0,0.04,0.0,0.95,0.63,0.12,0.57,1.14,0.19,0.0,0.43,0.0,0.23,0.0,0.19,0.11
84,0.0,0.0,0.0,0.0,0.88,0.45,0.0,0.32,1.22,0.21,0.0,0.47,0.0,0.45,0.0,0.2,0.07
85,0.04,0.22,0.0,0.0,0.83,0.55,0.0,0.49,1.27,0.21,0.0,0.44,0.2,0.55,0.0,0.2,0.0
86,0.04,0.3,0.0,0.0,0.83,0.67,0.01,0.61,1.32,0.03,0.12,0.19,0.42,0.46,0.0,0.02,0.0
87,0.04,0.32,0.0,0.0,0.8,0.72,0.06,1.05,1.32,0.0,0.14,0.0,0.53,0.24,0.0,0.0,0.0
88,0.04,0.15,0.0,0.0,0.8,0.69,0.13,1.04,1.22,0.0,0.16,0.0,0.33,0.05,0.17,0.24,0.0
89,0.04,0.07,0.0,0.0,0.81,0.39,0.15,1.08,1.29,0.03,0.04,0.0,0.12,0.0,0.24,0.42,0.0
90,0.05,0.05,0.0,0.0,0.84,0.36,0.15,0.98,1.29,0.18,0.01,0.18,0.0,0.01,0.48,0.63,0.0
91,0.01,0.0,0.0,0.0,0.84,0.8,0.08,0.98,1.44,0.22,0.13,0.23,0.0,0.01,0.33,0.39,0.1
92,0.0,0.0,0.0,0.0,0.81,1.8,0.0,0.88,1.52,0.13,0.4,0.14,0.0,0.0,0.06,0.0,0.3
93,0.09,0.0,0.65,0.07,1.61,1.69,0.0,1.19,1.6,0.51,0.0,1.9,0.0,0.0,0.59,0.56,0.0
94,0.07,0.21,0.52,0.02,1.09,1.71,0.0,0.71,1.35,0.23,0.0,1.4,0.0,0.0,0.38,0.2,0.0
95,0.07,0.28,0.51,0.0,0.89,1.52,0.0,0.58,1.23,0.11,0.0,1.01,0.0,0.0,0.21,0.02,0.11
96,0.07,0.28,0.41,0.0,0.84,1.43,0.01,0.62,1.2,0.08,0.0,1.0,0.0,0.0,0.47,0.41,0.22
97,0.03,0.07,0.21,0.0,0.77,1.02,0.01,0.62,1.13,0.05,0.0,1.14,0.0,0.0,0.6,0.76,0.35
98,0.05,0.0,0.0,0.0,0.66,1.32,0.01,0.36,0.86,0.0,0.0,1.52,0.0,0.16,0.56,0.88,0.29
99,0.05,0.0,0.12,0.0,0.83,1.17,0.0,0.39,1.01,0.0,0.0,1.39,0.0,0.16,0.48,0.69,0.38
100,0.05,0.0,0.22,0.0,0.95,1.03,0.0,0.48,1.14,0.12,0.0,1.19,0.0,0.16,0.45,0.53,0.45
101,0.0,0.0,0.22,0.0,1.08,0.45,0.0,0.7,1.45,0.34,0.0,1.03,0.12,0.0,0.91,0.61,0.4
102,0.0,0.0,0.11,0.0,1.04,0.63,0.0,0.52,1.48,0.34,0.0,0.95,0.15,0.0,1.08,0.66,0.47
103,0.13,0.18,0.18,0.04,1.28,1.11,0.0,0.67,1.5,0.43,0.0,1.38,0.15,0.01,0.99,0.64,0.27
104,0.13,0.18,0.18,0.04,1.24,1.44,0.0,0.57,1.61,0.25,0.0,1.14,0.04,0.01,0.88,0.66,0.49
105,0.13,0.18,0.18,0.04,1.28,1.17,0.0,0.64,1.79,0.35,0.0,1.06,0.07,0.09,0.79,0.43,0.22
106,0.0,0.0,0.0,0.0,1.18,0.78,0.0,0.5,1.91,0.46,0.0,0.35,0.15,0.12,1.26,0.42,0.38
107,0.02,0.0,0.03,0.0,1.37,0.68,0.0,0.68,1.85,0.52,0.26,0.12,0.53,0.12,1.71,0.2,0.16
108,0.02,0.0,0.29,0.0,1.67,1.07,0.24,1.09,1.54,0.71,0.72,0.06,0.82,0.03,2.19,0.17,0.18
109,0.02,0.0,0.74,0.0,1.48,0.97,0.45,1.19,1.01,0.45,1.51,0.79,1.24,0.2,1.58,0.0,0.02
110,0.0,0.0,0.72,0.0,1.51,1.2,0.7,1.28,1.03,0.52,1.56,0.79,0.92,0.42,1.29,0.0,0.02
111,0.0,0.0,0.51,0.0,1.61,1.05,0.48,0.79,1.22,0.34,1.1,0.87,0.56,0.59,0.65,0.0,0.0
113,0.0,0.0,0.16,0.0,2.16,1.04,0.83,0.92,1.59,0.23,0.36,0.14,0.15,1.2,1.2,0.21,0.0
114,0.06,0.17,0.12,0.11,1.8,1.05,0.8,1.38,1.51,0.23,0.36,0.47,0.15,1.16,1.07,0.21,0.0
115,0.06,0.17,0.12,0.11,1.08,0.56,0.38,0.88,0.95,0.12,0.21,0.47,0.0,0.86,0.5,0.13,0.0
120,0.22,0.18,0.35,0.15,0.41,0.55,0.0,0.55,0.22,0.0,0.92,1.73,0.0,0.0,0.0,0.6,0.0
121,0.39,0.18,0.56,0.15,0.6,1.04,0.0,0.78,0.26,0.02,1.23,2.4,0.0,0.0,0.0,1.18,0.0
122,0.48,0.34,0.5,0.15,0.58,1.46,0.0,0.53,0.31,0.18,0.98,2.0,0.0,0.0,0.0,0.92,0.0
123,0.39,0.2,0.27,0.01,0.38,1.39,0.0,0.46,0.4,0.22,0.58,1.64,0.0,0.0,0.0,0.82,0.0
124,0.28,0.2,0.09,0.01,0.72,1.26,0.21,0.43,0.74,0.19,0.41,0.98,0.0,0.0,0.0,0.24,0.11
125,0.19,0.0,0.1,0.0,1.58,1.09,0.64,0.63,1.15,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.34
126,0.1,0.58,0.24,0.0,0.0,0.0,0.23,1.2,0.13,0.0,0.0,1.17,0.0,0.0,0.0,0.16,0.02
127,0.07,0.19,0.55,0.0,0.0,0.23,0.37,0.64,0.04,0.0,0.18,0.65,0.0,0.0,0.27,0.09,0.38
128,0.04,0.0,0.86,0.0,0.0,0.61,0.45,0.24,0.0,0.0,0.26,0.26,0.01,0.0,0.28,0.03,0.61
129,0.0,0.0,0.69,0.0,0.0,0.9,0.41,0.24,0.0,0.0,0.15,0.0,0.07,0.0,0.24,0.19,0.82
130,0.02,0.13,0.59,0.0,0.0,0.67,0.22,0.19,0.01,0.0,0.1,0.0,0.07,0.0,0.11,0.25,0.69
131,0.09,0.13,0.33,0.0,0.0,0.29,0.07,0.19,0.01,0.0,0.15,0.0,0.11,0.0,0.34,0.26,0.69
132,0.18,0.19,0.41,0.0,0.0,0.01,0.03,0.07,0.01,0.0,0.39,0.0,0.04,0.0,0.56,0.07,0.72
133,0.38,0.06,0.41,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.43,0.0,0.04,0.0,0.85,0.11,0.78
134,0.31,0.06,0.58,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.3,0.0,0.0,0.0,0.98,0.2,0.64
135,0.43,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.19,0.0,0.0,0.0,1.27,0.2,0.67
136,0.24,0.02,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,1.27,0.1,0.37
137,0.25,0.19,0.41,0.0,0.0,0.0,0.01,0.14,0.0,0.0,0.22,0.13,0.0,0.0,0.99,0.22,0.37
138,0.05,0.19,0.47,0.0,0.0,0.0,0.04,0.14,0.0,0.0,0.1,0.21,0.0,0.0,0.66,0.22,0.11
139,0.02,0.17,0.45,0.0,0.0,0.0,0.04,0.39,0.12,0.0,0.0,0.21,0.0,0.0,0.56,0.27,0.11
140,0.0,0.0,0.6,0.0,0.0,0.24,0.19,0.56,0.12,0.0,0.0,0.08,0.0,0.0,0.82,0.2,0.0
141,0.0,0.0,0.66,0.0,0.0,0.56,0.26,0.74,0.12,0.0,0.0,0.0,0.0,0.0,0.98,0.3,0.07
142,0.19,0.14,0.73,0.0,0.0,0.65,0.26,0.64,0.0,0.0,0.05,0.08,0.22,0.0,0.77,0.24,0.29
143,0.51,0.47,0.55,0.0,0.0,0.41,0.1,0.47,0.02,0.0,0.17,0.21,0.44,0.0,0.46,0.1,0.53
144,0.84,0.58,0.33,0.0,0.0,0.1,0.0,0.45,0.12,0.0,0.32,0.3,0.56,0.0,0.16,0.0,0.46
145,1.22,0.98,0.22,0.0,0.0,0.01,0.0,0.51,0.21,0.0,0.27,0.3,0.44,0.0,0.09,0.0,0.4
146,1.28,1.08,0.19,0.0,0.0,0.0,0.0,0.58,0.19,0.0,0.15,0.17,0.34,0.0,0.1,0.0,0.15
147,1.25,1.13,0.27,0.0,0.0,0.0,0.0,0.46,0.18,0.0,0.0,0.1,0.36,0.0,0.1,0.0,0.39
148,0.69,0.59,0.45,0.0,0.0,0.05,0.0,0.39,0.08,0.0,0.0,0.18,0.26,0.0,0.22,0.0,0.24
149,0.3,0.16,0.43,0.0,0.0,0.05,0.0,0.47,0.11,0.0,0.0,0.36,0.14,0.0,0.18,0.0,0.37
150,0.0,0.0,0.55,0.0,0.0,0.1,0.01,0.5,0.03,0.0,0.0,0.5,0.0,0.0,0.18,0.0,0.14
151,0.0,0.0,0.57,0.0,0.0,0.05,0.08,0.56,0.03,0.0,0.0,0.47,0.0,0.0,0.15,0.12,0.14
152,0.0,0.0,0.68,0.0,0.0,0.05,0.13,0.47,0.0,0.0,0.0,0.39,0.0,0.0,0.24,0.19,0.0
153,0.0,0.0,0.74,0.0,0.0,0.0,0.12,0.51,0.0,0.0,0.0,0.3,0.0,0.0,0.27,0.28,0.0
154,0.0,0.0,0.74,0.0,0.0,0.0,0.05,0.38,0.0,0.0,0.04,0.29,0.0,0.0,0.39,0.36,0.05
155,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.04,0.29,0.0,0.0,0.4,0.29,0.06
156,0.0,0.0,0.7,0.0,0.0,0.0,0.01,0.18,0.0,0.0,0.04,0.31,0.0,0.0,0.42,0.28,0.06
157,0.05,0.18,0.72,0.0,0.0,0.0,0.05,0.54,0.0,0.0,0.0,0.43,0.11,0.0,0.35,0.37,0.01
158,0.05,0.18,0.73,0.0,0.0,0.0,0.05,0.58,0.0,0.0,0.0,0.41,0.11,0.0,0.38,0.58,0.0
159,0.05,0.18,0.85,0.0,0.0,0.0,0.04,0.65,0.0,0.0,0.0,0.37,0.11,0.0,0.45,0.69,0.0
160,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.28,0.0,0.0,0.44,0.56,0.0
161,0.0,0.0,1.08,0.0,0.0,0.11,0.01,0.43,0.0,0.0,0.0,0.28,0.0,0.0,0.31,0.55,0.0
162,0.02,0.0,1.18,0.0,0.0,0.11,0.02,0.52,0.0,0.0,0.0,0.23,0.0,0.0,0.25,0.67,0.0
163,0.07,0.0,1.29,0.0,0.0,0.11,0.06,0.66,0.0,0.0,0.0,0.08,0.0,0.0,0.2,0.75,0.0
164,0.11,0.0,1.37,0.0,0.0,0.12,0.11,0.68,0.0,0.0,0.01,0.05,0.0,0.0,0.2,0.59,0.0
165,0.09,0.0,1.34,0.0,0.0,0.19,0.14,0.6,0.0,0.0,0.01,0.18,0.0,0.0,0.08,0.48,0.0
166,0.05,0.0,1.29,0.0,0.0,0.27,0.15,0.4,0.0,0.0,0.01,0.21,0.0,0.0,0.01,0.4,0.0
167,0.06,0.0,1.15,0.0,0.0,0.15,0.1,0.41,0.0,0.0,0.13,0.16,0.0,0.0,0.07,0.74,0.31
168,0.07,0.15,0.94,0.0,0.0,0.08,0.1,0.61,0.0,0.0,0.13,0.32,0.0,0.0,0.09,0.91,0.31
169,0.07,0.15,0.86,0.0,0.0,0.0,0.05,0.74,0.0,0.0,0.19,0.28,0.0,0.0,0.11,1.06,0.63
170,0.34,0.35,0.72,0.0,0.0,0.0,0.05,0.73,0.0,0.0,0.19,0.39,0.0,0.0,0.18,0.71,0.62
171,0.45,0.21,0.83,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.41,0.3,0.15,0.0,0.31,0.45,0.92
172,0.55,0.21,0.8,0.0,0.0,0.0,0.08,0.6,0.0,0.0,0.35,0.45,0.15,0.0,0.57,0.52,0.73
173,0.22,0.0,0.76,0.0,0.0,0.06,0.08,0.59,0.0,0.0,0.3,0.55,0.15,0.0,0.65,0.95,0.62
174,0.1,0.0,0.58,0.0,0.0,0.1,0.08,0.54,0.0,0.0,0.13,0.56,0.0,0.0,0.69,1.29,0.48
175,0.09,0.0,0.48,0.0,0.0,0.1,0.0,0.51,0.0,0.0,0.19,0.56,0.0,0.0,0.56,1.14,0.44
176,0.15,0.0,0.47,0.0,0.0,0.04,0.0,0.43,0.0,0.0,0.19,0.48,0.0,0.0,0.43,0.78,0.28
177,0.15,0.0,0.4,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.26,0.41,0.0,0.01,0.32,0.51,0.12
178,0.06,0.0,0.2,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.24,0.4,0.01,0.05,0.19,0.45,0.02
179,0.2,0.28,0.22,0.0,0.0,0.0,0.0,0.44,0.04,0.0,0.18,0.53,0.16,0.05,0.11,0.46,0.0
180,0.2,0.28,0.15,0.0,0.0,0.0,0.0,0.42,0.04,0.0,0.1,0.52,0.16,0.07,0.1,0.46,0.0
181,0.2,0.28,0.15,0.0,0.0,0.0,0.0,0.45,0.04,0.0,0.11,0.54,0.14,0.02,0.12,0.35,0.0
182,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.13,0.41,0.03,0.04,0.12,0.32,0.0
183,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.2,0.0,0.0,0.1,0.45,0.08,0.04,0.06,0.25,0.0
184,0.0,0.0,0.12,0.01,0.0,0.06,0.07,0.26,0.0,0.0,0.05,0.4,0.08,0.17,0.07,0.34,0.0
185,0.0,0.0,0.22,0.02,0.0,0.06,0.13,0.35,0.0,0.0,0.0,0.39,0.12,0.27,0.1,0.42,0.0
186,0.07,0.0,0.34,0.02,0.0,0.06,0.15,0.26,0.0,0.0,0.0,0.27,0.07,0.26,0.14,0.44,0.0
187,0.09,0.0,0.49,0.02,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.19,0.07,0.13,0.13,0.41,0.0
188,0.09,0.0,0.64,0.0,0.0,0.0,0.05,0.09,0.0,0.0,0.0,0.11,0.0,0.08,0.09,0.51,0.0
189,0.02,0.0,0.67,0.08,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.19,0.0,0.13,0.06,0.57,0.0
190,0.14,0.22,0.53,0.08,0.0,0.0,0.0,0.38,0.02,0.0,0.0,0.3,0.24,0.13,0.04,0.75,0.0
191,0.14,0.22,0.42,0.08,0.0,0.0,0.0,0.38,0.02,0.0,0.0,0.32,0.24,0.14,0.05,0.69,0.0
192,0.14,0.22,0.34,0.0,0.0,0.0,0.0,0.45,0.02,0.0,0.0,0.28,0.24,0.16,0.05,0.71,0.0
193,0.0,0.0,0.37,0.02,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.28,0.0,0.22,0.01,0.56,0.0
194,0.0,0.0,0.39,0.02,0.0,0.03,0.0,0.08,0.0,0.0,0.0,0.39,0.0,0.23,0.0,0.53,0.0
195,0.0,0.0,0.48,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.49,0.0,0.19,0.07,0.44,0.0
196,0.0,0.0,0.52,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.01,0.53,0.0,0.17,0.07,0.4,0.0
197,0.0,0.0,0.54,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.45,0.0,0.13,0.07,0.35,0.0
198,0.0,0.0,0.57,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.2,0.01,0.38,0.0
199,0.0,0.0,0.59,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.27,0.04,0.48,0.0
200,0.0,0.0,0.51,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.32,0.0,0.35,0.1,0.6,0.0
201,0.16,0.26,0.45,0.34,0.0,0.0,0.0,0.32,0.02,0.0,0.07,0.46,0.16,0.26,0.09,0.43,0.0
202,0.16,0.26,0.39,0.2,0.0,0.01,0.0,0.32,0.02,0.0,0.09,0.5,0.16,0.29,0.1,0.46,0.0
203,0.16,0.26,0.36,0.18,0.0,0.01,0.0,0.32,0.02,0.0,0.12,0.52,0.16,0.3,0.04,0.44,0.0
204,0.0,0.0,0.38,0.23,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.27,0.0,0.43,0.17,0.71,0.0
205,0.0,0.0,0.42,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.21,0.0,0.32,0.19,0.74,0.0
