, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
727,0.16,0.26,0.14,0.0,0.0,0.0,0.0,0.51,0.79,0.04,0.09,0.36,0.02,0.14,0.05,0.09,0.13
728,0.16,0.26,0.2,0.0,0.01,0.0,0.02,0.53,0.75,0.0,0.09,0.32,0.04,0.06,0.09,0.16,0.13
729,0.16,0.26,0.33,0.0,0.0,0.0,0.11,0.55,0.74,0.02,0.09,0.34,0.07,0.0,0.27,0.3,0.13
730,0.0,0.0,0.32,0.0,0.0,0.0,0.14,0.37,0.91,0.07,0.0,0.18,0.1,0.02,0.45,0.35,0.0
731,0.0,0.0,0.33,0.0,0.06,0.0,0.12,0.4,0.9,0.16,0.0,0.12,0.06,0.02,0.55,0.27,0.0
732,0.12,0.0,0.19,0.08,0.06,0.0,0.03,0.25,0.93,0.18,0.0,0.06,0.15,0.02,0.47,0.2,0.03
733,0.21,0.0,0.13,0.08,0.06,0.0,0.0,0.24,0.95,0.19,0.0,0.01,0.12,0.0,0.37,0.17,0.34
734,0.3,0.0,0.0,0.08,0.0,0.0,0.0,0.29,0.98,0.12,0.0,0.0,0.12,0.0,0.37,0.08,0.59
735,0.18,0.0,0.08,0.01,0.03,0.0,0.03,0.33,1.01,0.16,0.0,0.05,0.0,0.03,0.42,0.02,0.56
736,0.09,0.0,0.27,0.01,0.07,0.0,0.09,0.32,0.99,0.09,0.0,0.12,0.0,0.05,0.36,0.0,0.26
737,0.09,0.09,0.27,0.08,0.07,0.0,0.09,0.38,0.78,0.07,0.26,0.44,0.0,0.05,0.2,0.02,0.01
738,0.15,0.14,0.18,0.07,0.05,0.0,0.06,0.52,0.55,0.0,0.5,0.73,0.0,0.02,0.03,0.07,0.06
739,0.24,0.17,0.03,0.07,0.0,0.0,0.0,0.68,0.38,0.0,0.7,0.91,0.0,0.0,0.0,0.14,0.06
740,0.22,0.08,0.09,0.0,0.0,0.0,0.0,0.76,0.44,0.0,0.46,0.73,0.0,0.0,0.0,0.12,0.11
741,0.25,0.06,0.16,0.0,0.0,0.0,0.0,0.74,0.49,0.0,0.36,0.48,0.0,0.0,0.0,0.17,0.11
742,0.2,0.04,0.18,0.0,0.0,0.0,0.0,0.68,0.53,0.0,0.27,0.38,0.0,0.0,0.0,0.09,0.18
743,0.16,0.04,0.18,0.0,0.0,0.0,0.0,0.55,0.54,0.0,0.34,0.41,0.0,0.0,0.0,0.1,0.16
744,0.11,0.0,0.17,0.0,0.0,0.0,0.0,0.55,0.57,0.0,0.29,0.49,0.0,0.0,0.0,0.02,0.12
745,0.4,0.61,0.63,0.05,0.0,0.0,0.0,0.85,0.0,0.04,0.27,0.46,0.0,0.0,0.9,0.77,0.0
746,0.63,0.3,0.44,0.02,0.0,0.0,0.0,0.38,0.0,0.02,0.18,0.34,0.12,0.0,0.58,0.58,0.61
747,0.68,0.1,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.09,0.43,0.22,0.0,0.28,0.39,0.91
748,0.64,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.7,0.31,0.0,0.03,0.21,0.81
749,0.63,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.23,0.0,0.0,0.07,0.86
