, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.98,1,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.79,1.04,0.0,0.0,0.62,0.21,0.0
1,0,0.93,1,0.25,0.0,0.54,0.0,0.0,0.04,0.0,0.19,0.0,0.0,0.33,0.53,0.57,0.0,0.94,0.13,0.17
2,0,0.98,1,0.27,0.0,0.55,0.0,0.0,0.13,0.0,0.08,0.0,0.0,0.11,0.35,0.78,0.17,1.19,0.26,0.17
3,0,0.98,1,0.16,0.01,0.61,0.0,0.0,0.24,0.0,0.13,0.0,0.0,0.17,0.49,0.29,0.39,1.33,0.33,0.0
4,0,0.98,1,0.16,0.09,0.64,0.0,0.0,0.2,0.0,0.36,0.0,0.0,0.15,0.39,0.39,0.41,1.42,0.37,0.0
5,0,0.98,1,0.18,0.2,0.64,0.0,0.0,0.11,0.0,0.66,0.0,0.0,0.11,0.38,0.29,0.24,1.47,0.17,0.0
6,0,0.98,1,0.16,0.19,0.6,0.0,0.0,0.0,0.03,0.85,0.0,0.0,0.11,0.24,0.23,0.03,1.55,0.06,0.0
7,0,0.98,1,0.07,0.11,0.41,0.0,0.0,0.0,0.03,0.96,0.02,0.0,0.06,0.23,0.33,0.0,1.6,0.21,0.0
8,0,0.98,1,0.04,0.0,0.19,0.0,0.0,0.0,0.03,0.97,0.04,0.0,0.1,0.12,0.42,0.08,1.71,0.36,0.0
9,0,0.98,1,0.03,0.0,0.08,0.0,0.0,0.05,0.0,1.16,0.05,0.0,0.14,0.28,0.68,0.08,1.8,0.44,0.0
10,0,0.98,1,0.08,0.0,0.3,0.03,0.0,0.05,0.05,1.21,0.03,0.0,0.32,0.26,0.63,0.07,1.98,0.34,0.0
11,0,0.98,1,0.2,0.0,0.39,0.03,0.0,0.05,0.05,0.86,0.01,0.0,0.28,0.36,0.84,0.0,1.56,0.2,0.11
12,0,0.93,1,0.2,0.0,0.45,0.03,0.0,0.08,0.05,0.65,0.04,0.0,0.29,0.36,0.55,0.0,1.71,0.12,0.11
13,0,0.93,1,0.13,0.0,0.39,0.0,0.0,0.08,0.07,0.52,0.04,0.0,0.39,0.43,0.39,0.0,1.38,0.0,0.11
14,0,0.98,1,0.0,0.0,0.5,0.0,0.0,0.08,0.13,0.81,0.04,0.0,0.55,0.37,0.0,0.0,1.58,0.0,0.0
15,0,0.98,1,0.0,0.0,0.53,0.0,0.0,0.09,0.18,0.81,0.0,0.0,0.59,0.43,0.0,0.07,1.24,0.0,0.0
16,0,0.98,1,0.0,0.0,0.55,0.0,0.0,0.15,0.11,0.61,0.0,0.0,0.31,0.39,0.0,0.07,1.1,0.0,0.0
17,0,0.98,1,0.08,0.02,0.48,0.0,0.0,0.27,0.05,0.46,0.0,0.0,0.19,0.32,0.0,0.07,1.21,0.0,0.0
18,0,0.98,1,0.08,0.02,0.53,0.0,0.0,0.44,0.0,0.53,0.01,0.0,0.18,0.33,0.0,0.02,1.29,0.12,0.0
19,0,0.98,1,0.08,0.02,0.56,0.0,0.0,0.5,0.0,0.69,0.04,0.0,0.27,0.45,0.0,0.04,1.44,0.25,0.0
20,0,0.98,1,0.0,0.0,0.48,0.01,0.0,0.37,0.0,0.85,0.04,0.0,0.32,0.76,0.02,0.11,1.41,0.43,0.0
21,0,0.98,1,0.03,0.01,0.42,0.09,0.0,0.12,0.0,0.84,0.03,0.0,0.19,0.66,0.04,0.2,1.4,0.53,0.0
22,0,0.98,1,0.19,0.01,0.49,0.09,0.0,0.0,0.0,0.58,0.0,0.0,0.1,0.53,0.29,0.18,1.28,0.43,0.15
