, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.98,1,0.49,0.0,0.0,0.0,1.17,0.78,0.27,0.29,1.44,0.0,0.0,0.43,0.0,0.0,0.28,0.0,0.0
1,0,0.98,1,0.17,0.16,0.0,0.12,1.37,0.62,0.09,0.43,2.08,0.5,0.0,0.42,0.0,0.42,0.09,0.19,0.0
2,0,0.98,1,0.01,0.16,0.04,0.12,1.45,0.53,0.0,0.56,2.44,0.8,0.0,0.39,0.0,0.46,0.0,0.43,0.08
3,0,0.98,1,0.08,0.31,0.04,0.06,1.51,0.4,0.0,0.56,2.43,0.78,0.0,0.38,0.0,0.19,0.06,0.4,0.28
4,0,0.98,1,0.08,0.26,0.04,0.06,1.62,0.45,0.0,0.61,2.45,0.75,0.04,0.28,0.0,0.11,0.2,0.36,0.28
5,0,0.98,1,0.08,0.26,0.0,0.06,1.66,0.29,0.0,0.61,2.38,0.77,0.04,0.45,0.0,0.24,0.2,0.23,0.3
6,0,0.98,1,0.03,0.0,0.01,0.0,1.66,0.44,0.0,0.58,2.37,0.84,0.04,0.57,0.0,0.27,0.16,0.35,0.22
7,0,0.98,1,0.03,0.0,0.01,0.0,1.58,0.16,0.0,0.65,2.35,0.92,0.09,0.55,0.0,0.2,0.07,0.5,0.22
8,0,0.98,1,0.03,0.0,0.01,0.0,1.56,0.15,0.0,0.66,2.4,0.9,0.22,0.45,0.0,0.03,0.07,0.53,0.12
9,0,0.98,1,0.05,0.0,0.13,0.0,1.53,0.22,0.0,0.74,2.4,0.91,0.31,0.55,0.0,0.0,0.04,0.4,0.09
10,0,0.98,1,0.14,0.0,0.13,0.0,1.4,0.44,0.0,0.48,2.2,0.62,0.23,0.63,0.05,0.0,0.14,0.26,0.09
11,0,0.98,1,0.14,0.0,0.13,0.0,1.45,0.55,0.0,0.31,2.1,0.44,0.1,0.62,0.05,0.0,0.37,0.12,0.09
12,0,0.98,1,0.09,0.0,0.0,0.0,1.46,0.46,0.0,0.16,2.15,0.35,0.0,0.4,0.08,0.0,0.59,0.01,0.0
13,0,0.98,1,0.0,0.0,0.0,0.0,1.58,0.34,0.0,0.28,2.36,0.5,0.03,0.23,0.13,0.0,0.67,0.0,0.0
14,0,0.98,1,0.0,0.0,0.0,0.0,1.52,0.31,0.0,0.36,2.42,0.6,0.03,0.07,0.15,0.0,0.66,0.02,0.11
15,0,0.98,1,0.0,0.0,0.0,0.0,1.54,0.17,0.01,0.47,2.37,0.73,0.04,0.0,0.21,0.0,0.7,0.02,0.22
16,0,0.98,1,0.05,0.0,0.0,0.0,1.52,0.25,0.04,0.62,2.37,0.79,0.01,0.0,0.12,0.0,0.71,0.1,0.22
17,0,0.98,1,0.07,0.24,0.0,0.0,1.59,0.24,0.09,0.87,2.41,0.78,0.08,0.02,0.11,0.0,0.7,0.13,0.11
18,0,0.98,1,0.06,0.73,0.0,0.0,1.68,0.17,0.13,1.14,2.48,0.62,0.22,0.05,0.0,0.0,0.65,0.14,0.0
