, face_id, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0,0,0.88,1,0.93,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.49,0.89,1.8,0.0,0.0,0.0,0.0,0.0
1,0,0.98,1,0.36,0.52,0.26,0.0,0.48,0.0,0.0,0.79,1.03,0.23,0.3,0.91,0.01,0.0,0.19,0.87,0.0
2,0,0.98,1,0.1,0.0,0.47,0.0,0.76,0.0,0.0,1.02,1.26,0.07,0.0,0.45,0.02,0.0,0.22,1.32,0.0
3,0,0.98,1,0.26,0.0,0.42,0.0,0.93,0.0,0.05,0.81,1.2,0.13,0.0,0.49,0.0,0.0,0.27,1.13,0.04
4,0,0.98,1,0.39,0.0,0.25,0.0,1.02,0.07,0.06,0.59,1.17,0.18,0.0,0.54,0.0,0.0,0.3,0.87,0.09
5,0,0.98,1,0.33,0.0,0.14,0.0,1.01,0.12,0.07,0.74,1.23,0.19,0.2,0.59,0.02,0.0,0.43,0.49,0.19
6,0,0.98,1,0.17,0.0,0.23,0.0,0.91,0.13,0.02,0.96,1.31,0.16,0.35,0.55,0.1,0.0,0.49,0.47,0.33
7,0,0.98,1,0.0,0.0,0.39,0.0,0.8,0.06,0.01,1.21,1.35,0.21,0.53,0.5,0.14,0.0,0.54,0.38,0.41
8,0,0.98,1,0.0,0.0,0.38,0.0,0.82,0.01,0.0,1.12,1.38,0.37,0.38,0.56,0.15,0.0,0.38,0.43,0.32
9,0,0.98,1,0.0,0.0,0.26,0.0,0.94,0.0,0.0,1.09,1.52,0.35,0.4,0.46,0.07,0.0,0.46,0.44,0.16
10,0,0.98,1,0.33,0.38,0.36,0.0,0.88,0.0,0.01,1.04,1.25,0.25,0.3,0.86,0.03,0.0,0.58,1.05,0.02
11,0,0.98,1,0.33,0.38,0.3,0.0,0.96,0.0,0.01,1.1,1.33,0.16,0.31,0.62,0.0,0.0,0.74,1.02,0.25
12,0,0.98,1,0.33,0.38,0.39,0.0,0.99,0.0,0.01,1.12,1.37,0.25,0.21,0.55,0.08,0.0,0.62,1.21,0.23
13,0,0.98,1,0.0,0.0,0.27,0.0,1.18,0.0,0.0,1.1,1.82,0.36,0.24,0.0,0.11,0.0,0.4,0.92,0.23
14,0,0.98,1,0.0,0.0,0.33,0.0,1.21,0.0,0.0,0.98,1.89,0.46,0.18,0.06,0.11,0.0,0.24,0.94,0.0
15,0,0.98,1,0.0,0.0,0.58,0.0,1.23,0.0,0.0,0.86,1.9,0.55,0.11,0.12,0.03,0.0,0.11,0.72,0.0
16,0,0.98,1,0.0,0.0,0.44,0.0,1.29,0.0,0.0,0.83,2.03,0.68,0.0,0.15,0.0,0.07,0.12,0.24,0.0
17,0,0.98,1,0.0,0.0,0.36,0.0,1.28,0.0,0.0,0.84,2.11,0.69,0.0,0.25,0.0,0.13,0.36,0.3,0.0
18,0,0.98,1,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.81,2.17,0.64,0.05,0.38,0.0,0.21,0.6,0.4,0.0
19,0,0.98,1,0.0,0.0,0.01,0.0,1.14,0.0,0.0,0.86,2.12,0.71,0.05,0.39,0.0,0.16,0.49,0.4,0.01
20,0,0.98,1,0.0,0.0,0.14,0.03,1.17,0.0,0.0,0.88,2.13,0.72,0.07,0.23,0.0,0.11,0.25,0.24,0.01
21,0,0.98,1,0.23,0.4,0.38,0.03,1.13,0.0,0.0,1.09,1.77,0.71,0.05,0.42,0.0,0.03,0.26,0.62,0.01
22,0,0.98,1,0.23,0.4,0.48,0.26,1.03,0.0,0.02,0.98,1.72,0.71,0.05,0.48,0.0,0.03,0.28,0.62,0.0
23,0,0.98,1,0.23,0.4,0.67,0.26,0.92,0.0,0.02,0.97,1.63,0.79,0.03,0.48,0.0,0.1,0.28,0.62,0.1
24,0,0.98,1,0.0,0.0,0.76,0.26,0.92,0.0,0.02,0.8,1.92,0.88,0.0,0.09,0.0,0.22,0.02,0.0,0.15
25,0,0.98,1,0.0,0.0,0.64,0.03,1.09,0.0,0.03,0.8,2.12,0.82,0.0,0.0,0.0,0.2,0.28,0.0,0.4
26,0,0.98,1,0.01,0.0,0.32,0.0,1.1,0.0,0.03,0.85,2.21,0.68,0.0,0.08,0.0,0.12,0.28,0.0,0.56
27,0,0.98,1,0.01,0.0,0.17,0.0,1.15,0.0,0.03,0.83,2.24,0.65,0.0,0.19,0.0,0.14,0.28,0.0,0.6
28,0,0.98,1,0.01,0.0,0.31,0.0,1.0,0.0,0.0,0.84,2.03,0.56,0.0,0.19,0.0,0.28,0.0,0.0,0.35
29,0,0.98,1,0.03,0.0,0.31,0.11,0.8,0.0,0.02,0.62,1.86,0.63,0.4,0.36,0.14,0.81,0.0,0.0,0.09
30,0,0.88,1,0.19,0.0,0.14,0.6,0.53,0.0,0.14,0.36,1.73,0.72,0.5,0.57,0.27,1.26,0.0,0.22,0.0
31,0,0.88,1,0.37,0.0,0.0,1.08,0.4,0.0,0.29,0.08,1.64,0.9,0.72,0.89,0.3,1.73,0.0,0.39,0.0
32,0,0.88,1,0.59,0.36,0.2,1.05,0.55,0.0,0.27,0.42,1.45,0.95,0.32,1.06,0.16,1.21,0.29,1.05,0.0
33,0,0.98,1,0.61,0.6,0.4,0.56,0.69,0.0,0.15,0.84,1.28,0.88,0.22,1.07,0.09,0.62,0.54,1.6,0.0
34,0,0.98,1,0.61,0.86,0.59,0.08,0.88,0.0,0.0,1.27,1.12,0.75,0.0,1.02,0.06,0.0,0.8,2.15,0.02
35,0,0.98,1,0.5,0.6,0.62,0.0,0.96,0.07,0.0,1.33,1.28,0.63,0.0,0.68,0.06,0.0,0.79,2.14,0.02
36,0,0.98,1,0.55,0.5,0.75,0.0,0.99,0.07,0.0,1.35,1.3,0.44,0.0,0.57,0.01,0.0,0.74,1.91,0.02
37,0,0.98,1,0.63,0.47,0.98,0.0,0.93,0.07,0.0,1.25,1.27,0.31,0.12,0.71,0.0,0.0,0.74,1.77,0.0
38,0,0.98,1,0.75,0.7,1.3,0.0,0.85,0.0,0.01,1.0,1.11,0.26,0.37,1.25,0.0,0.0,0.76,1.73,0.0
